"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.068020415E1,3.053835706E1,1.143559474E2,2.593251640E1,6.723868531E-1,1.029085761E2,1.422320880E1,1.010550171E1
4.168022811E1,3.053835578E1,1.143559530E2,2.549986187E1,5.871304856E-1,1.023533855E2,1.422282755E1,1.010603828E1
4.268024945E1,3.053835257E1,1.143559628E2,2.574261466E1,6.803487591E-1,1.035029429E2,1.422284823E1,1.010600918E1
4.368026757E1,3.053834985E1,1.143559733E2,2.598266659E1,8.219249119E-1,1.029428914E2,1.422416061E1,1.010416193E1
4.468028271E1,3.053834828E1,1.143559763E2,2.606229239E1,5.223823920E-1,1.038337301E2,1.422358927E1,1.010496619E1
4.568029511E1,3.053834676E1,1.143559843E2,2.607512185E1,6.216130982E-1,1.023823937E2,1.422386628E1,1.010457626E1
4.668030560E1,3.053834473E1,1.143559915E2,2.608708851E1,6.776625563E-1,1.020408069E2,1.422334097E1,1.010531568E1
4.768031359E1,3.053834369E1,1.143559995E2,2.551558575E1,7.043101146E-1,1.009338012E2,1.422538027E1,1.010244473E1
4.868031919E1,3.053834146E1,1.143560079E2,2.579774460E1,7.669080116E-1,1.012127005E2,1.422535147E1,1.010248528E1
4.968032193E1,3.053833930E1,1.143560140E2,2.603209868E1,7.355756892E-1,1.027717136E2,1.422383331E1,1.010462267E1
5.068032503E1,3.053833935E1,1.143560194E2,2.557362237E1,5.309357748E-1,1.014011421E2,1.422428159E1,1.010399161E1
5.168032455E1,3.053833728E1,1.143560285E2,2.569534200E1,7.304049376E-1,1.010691849E2,1.422396713E1,1.010443430E1
5.268032265E1,3.053833585E1,1.143560345E2,2.585178837E1,6.383209810E-1,1.012072212E2,1.422448484E1,1.010370548E1
5.368031979E1,3.053833466E1,1.143560407E2,2.553685128E1,6.350098992E-1,1.008827602E2,1.422583919E1,1.010179849E1
5.468031490E1,3.053833427E1,1.143560508E2,2.542031310E1,7.524650340E-1,9.875189359E1,1.422575768E1,1.010191327E1
5.568030930E1,3.053833263E1,1.143560538E2,2.539501054E1,5.464705606E-1,9.991952755E1,1.422504678E1,1.010291430E1
5.668030202E1,3.053833343E1,1.143560624E2,2.503444773E1,5.919055661E-1,9.617027051E1,1.422466197E1,1.010345609E1
5.768029261E1,3.053833359E1,1.143560713E2,2.483592397E1,6.787445614E-1,9.519564622E1,1.422473367E1,1.010335515E1
5.868028355E1,3.053833273E1,1.143560753E2,2.515929078E1,5.469193872E-1,9.590832156E1,1.422411938E1,1.010421996E1
