"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.700392952318698E9,"2023-11-19 19:22:32.319 UTC+08:00"
"PAUSE",7.359539972083294E2,1.700393688266163E9,"2023-11-19 19:34:48.266 UTC+08:00"
